,date,tempmax,tempmin,temp,feelslike,humidity,windspeed,pressure,precipitation
0,2022-01-01,19.5,6.3,11.9,11.8,80.7,9.4,1022.1,0.0
1,2022-01-02,19.8,7.4,12.7,12.6,80.9,8.0,1020.7,0.0
2,2022-01-03,20.6,7.4,13.8,13.8,76.1,13.0,1018.6,0.0
3,2022-01-04,22.5,9.7,15.8,15.8,71.1,7.6,1017.7,0.0
4,2022-01-05,15.0,12.2,13.7,13.7,91.8,22.3,1016.6,7.674
5,2022-01-06,20.0,12.0,15.2,15.2,88.7,14.8,1016.7,0.0
6,2022-01-07,18.9,14.0,16.2,16.2,90.2,20.5,1016.3,0.0
7,2022-01-08,16.5,15.0,15.8,15.8,96.9,22.3,1015.7,48.612
8,2022-01-09,16.0,12.0,13.8,13.8,97.2,16.6,1015.2,7.451
9,2022-01-10,16.9,9.9,12.5,12.4,92.2,11.2,1017.9,0.0
10,2022-01-11,17.0,8.0,11.4,11.2,91.4,16.6,1018.0,0.0
11,2022-01-12,17.0,8.0,11.5,11.3,88.5,10.9,1017.5,0.0
12,2022-01-13,16.3,7.3,11.4,11.4,91.2,5.4,1017.6,0.0
13,2022-01-14,14.8,7.2,10.5,10.5,94.6,11.2,1018.4,0.0
14,2022-01-15,13.5,8.2,10.0,9.7,93.9,14.8,1020.0,0.0
15,2022-01-16,15.0,8.0,10.7,10.3,87.4,9.4,1020.6,0.0
16,2022-01-17,16.0,9.0,11.2,11.1,88.5,7.6,1021.2,0.0
17,2022-01-18,14.6,9.0,10.6,10.2,92.1,14.8,1019.1,0.0
18,2022-01-19,17.1,8.0,11.9,11.6,89.4,11.2,1016.1,0.0
19,2022-01-20,18.1,10.0,12.7,12.5,92.3,13.0,1011.9,0.0
20,2022-01-21,19.1,9.9,13.4,13.4,90.4,9.3,1011.9,0.0
21,2022-01-22,15.0,11.0,13.0,13.0,94.3,20.5,1007.5,23.588
22,2022-01-23,15.0,10.4,12.6,12.6,94.3,20.5,1010.0,1.1
23,2022-01-24,15.0,9.0,11.7,11.7,93.5,7.6,1014.0,0.0
24,2022-01-25,13.4,8.0,10.0,9.7,94.4,13.0,1015.2,0.0
25,2022-01-26,15.8,7.1,11.2,11.1,92.5,14.8,1015.9,0.0
26,2022-01-27,18.0,7.5,12.2,12.0,83.9,18.4,1017.0,0.0
27,2022-01-28,19.5,7.0,12.7,12.2,76.0,22.3,1016.9,0.0
28,2022-01-29,21.4,7.0,13.7,13.7,73.8,15.1,1017.1,0.0
29,2022-01-30,21.2,9.0,14.6,14.4,78.1,27.7,1012.5,0.0
30,2022-01-31,22.9,8.3,14.5,14.5,78.9,13.0,1011.9,0.0
31,2022-02-01,19.9,8.6,13.4,13.4,89.1,13.0,1011.6,0.0
32,2022-02-02,21.0,10.0,14.7,14.7,83.1,14.8,1011.2,0.0
33,2022-02-03,14.1,11.0,13.0,13.0,88.9,22.3,1007.3,0.773
34,2022-02-04,17.7,10.0,13.1,13.0,87.2,14.8,1009.3,0.0
35,2022-02-05,19.7,8.0,12.5,12.5,82.4,8.2,1013.8,0.0
36,2022-02-06,22.8,6.3,14.0,14.0,72.0,10.6,1015.9,0.0
37,2022-02-07,25.7,10.3,17.4,17.4,72.1,9.4,1014.9,0.0
38,2022-02-08,25.7,12.2,18.5,18.5,77.2,9.4,1013.2,0.0
39,2022-02-09,21.5,13.0,16.5,16.5,84.5,14.8,1015.2,14.351
40,2022-02-10,22.7,10.3,15.7,15.7,74.5,18.4,1017.7,0.0
41,2022-02-11,21.8,9.2,15.5,15.4,69.7,26.1,1016.1,0.0
42,2022-02-12,22.8,9.8,16.0,15.9,66.7,21.0,1014.6,0.0
43,2022-02-13,27.3,8.5,17.4,17.4,65.5,7.6,1013.4,0.0
44,2022-02-14,26.7,9.3,17.9,17.9,64.6,10.9,1013.4,0.0
45,2022-02-15,25.9,10.5,18.8,18.8,58.5,13.0,1013.4,0.0
46,2022-02-16,25.3,10.5,18.1,18.1,68.5,10.0,1011.3,0.0
47,2022-02-17,26.7,12.1,18.4,18.4,66.4,8.7,1011.2,0.0
48,2022-02-18,27.8,10.5,19.1,19.0,61.6,13.0,1012.4,0.0
49,2022-02-19,25.0,12.2,18.8,18.8,64.0,12.2,1013.8,0.0
50,2022-02-20,23.8,12.0,17.9,17.9,69.4,21.4,1008.4,0.0
51,2022-02-21,25.8,10.3,17.9,17.9,57.5,16.6,1008.3,0.0
52,2022-02-22,25.9,10.8,19.1,19.1,58.7,27.7,1010.1,0.0
53,2022-02-23,23.8,15.0,19.2,19.2,78.2,22.3,1013.9,0.0
54,2022-02-24,25.8,13.5,19.6,19.6,72.0,16.1,1015.6,0.0
55,2022-02-25,27.0,13.3,20.1,20.1,71.7,20.5,1016.0,2.137
56,2022-02-26,23.7,15.0,18.4,18.4,70.8,27.7,1017.2,6.9
57,2022-02-27,25.4,14.0,18.8,18.8,66.9,14.4,1018.4,0.931
58,2022-02-28,24.8,12.0,18.1,18.1,62.7,14.8,1016.7,0.0
59,2022-03-01,25.1,11.2,18.3,18.3,68.6,12.4,1016.9,0.0
60,2022-03-02,26.8,12.3,19.4,19.4,68.8,14.5,1016.6,0.0
61,2022-03-03,28.8,15.5,21.8,21.7,63.7,16.6,1015.2,0.0
62,2022-03-04,25.0,16.0,20.4,20.4,73.2,16.6,1016.2,0.0
63,2022-03-05,25.7,13.0,19.6,19.6,71.6,20.5,1014.9,0.0
64,2022-03-06,27.1,14.8,20.3,20.3,70.0,10.6,1013.8,0.0
65,2022-03-07,29.0,16.0,22.1,22.0,63.8,11.2,1015.0,0.0
66,2022-03-08,29.9,17.0,22.5,22.3,62.9,18.4,1014.3,0.0
67,2022-03-09,30.6,15.9,23.1,22.7,56.2,18.4,1013.2,0.0
68,2022-03-10,29.0,17.0,22.9,22.7,57.0,21.2,1013.1,0.0
69,2022-03-11,29.0,16.7,22.7,22.6,65.2,22.3,1013.4,0.0
70,2022-03-12,30.7,16.0,23.1,22.9,58.9,22.3,1011.6,0.0
71,2022-03-13,31.6,17.7,24.5,24.4,61.9,16.6,1011.3,0.0
72,2022-03-14,32.6,18.4,25.5,25.7,68.1,14.8,1010.7,0.0
73,2022-03-15,34.0,20.2,26.9,27.5,69.5,18.4,1008.1,0.0
74,2022-03-16,34.3,21.0,27.6,28.1,65.0,24.4,1005.8,0.0
75,2022-03-17,34.5,21.3,27.7,28.8,66.2,9.4,1006.5,0.0
76,2022-03-18,34.5,22.9,28.2,29.8,70.7,14.5,1007.8,0.0
77,2022-03-19,36.2,21.0,28.5,29.5,64.3,11.2,1005.6,0.0
78,2022-03-20,37.1,23.5,29.6,28.9,49.8,13.0,1004.2,0.0
79,2022-03-21,36.1,22.1,28.8,29.2,54.0,18.4,1006.4,0.0
80,2022-03-22,34.2,22.0,28.3,28.0,51.2,25.9,1007.5,0.0
81,2022-03-23,35.0,20.3,27.8,27.5,50.1,13.0,1007.2,0.0
82,2022-03-24,34.9,21.0,28.0,27.2,42.1,19.6,1005.7,0.0
83,2022-03-25,34.5,20.6,27.6,27.0,51.5,18.4,1007.2,0.0
84,2022-03-26,37.7,20.0,27.1,26.4,44.3,27.7,1008.9,0.0
85,2022-03-27,37.2,21.2,29.3,28.2,23.9,14.7,1008.2,0.0
86,2022-03-28,38.2,21.0,29.6,28.5,34.9,18.4,1007.6,0.0
87,2022-03-29,39.9,20.2,30.3,29.1,32.0,18.4,1005.8,0.0
88,2022-03-30,39.0,21.2,30.5,29.4,34.6,9.6,1006.0,0.0
89,2022-03-31,38.6,21.7,30.6,29.9,34.5,13.3,1006.5,0.0
90,2022-04-01,36.0,23.9,29.9,28.6,29.1,14.8,1007.1,0.0
91,2022-04-02,39.0,19.6,29.8,28.7,28.3,11.2,1008.3,0.0
92,2022-04-03,39.0,21.3,30.3,28.9,26.2,18.4,1007.5,0.0
93,2022-04-04,38.0,21.3,30.2,28.9,24.7,18.4,1007.4,0.0
94,2022-04-05,38.3,20.7,30.2,28.8,26.8,19.6,1010.5,0.0
95,2022-04-06,40.0,21.1,30.7,29.3,24.0,18.4,1010.5,0.0
96,2022-04-07,40.0,21.2,31.4,30.0,25.3,15.2,1009.6,0.0
97,2022-04-08,42.0,21.8,32.1,30.5,23.2,18.4,1006.9,0.0
98,2022-04-09,41.6,22.1,33.0,31.3,23.7,16.6,1005.0,0.0
99,2022-04-10,42.0,25.8,33.4,31.5,21.1,18.4,1004.4,0.0
100,2022-04-11,42.0,24.5,33.7,31.9,22.9,18.4,1003.8,0.0
101,2022-04-12,39.0,24.8,32.7,31.0,22.5,18.4,1004.0,0.0
102,2022-04-13,39.9,23.4,32.7,31.2,26.2,14.8,1003.3,0.0
103,2022-04-14,38.6,27.0,32.3,30.7,23.2,27.7,1003.0,0.137
104,2022-04-15,40.0,25.4,32.4,31.1,27.3,14.8,1002.9,0.0
105,2022-04-16,40.0,23.7,32.1,30.8,30.1,20.5,1002.5,0.0
106,2022-04-17,39.9,24.2,32.5,31.3,28.3,9.4,1003.4,0.0
107,2022-04-18,42.0,24.4,33.4,32.1,27.2,9.4,1005.2,0.0
108,2022-04-19,43.0,25.2,34.3,32.8,25.9,18.4,1006.9,0.0
109,2022-04-20,41.0,27.0,34.1,32.3,21.7,19.6,1005.5,0.0
110,2022-04-21,36.0,25.7,31.4,30.1,28.8,18.4,1006.8,0.0
111,2022-04-22,38.0,24.6,31.5,30.3,29.4,27.7,1007.9,0.286
112,2022-04-23,40.0,22.7,31.7,30.2,25.9,18.4,1007.9,0.0
113,2022-04-24,39.0,23.8,32.4,30.8,23.7,20.9,1006.0,0.0
114,2022-04-25,40.1,24.7,33.9,32.2,22.4,46.4,1004.6,0.0
115,2022-04-26,39.8,27.4,33.5,31.9,22.7,16.6,1005.2,0.0
116,2022-04-27,42.0,24.1,33.9,32.1,23.9,20.5,1004.8,0.0
117,2022-04-28,43.0,23.7,34.6,33.0,23.5,18.4,1004.5,0.0
118,2022-04-29,43.3,27.5,35.7,33.7,20.3,16.4,1003.9,0.0
119,2022-04-30,43.2,27.4,35.6,33.4,17.9,14.8,1001.2,0.0
120,2022-05-01,40.0,28.1,33.9,34.0,32.5,22.3,1000.3,0.0
121,2022-05-02,40.0,28.4,34.1,35.5,41.7,22.3,1000.4,0.0
122,2022-05-03,37.7,29.0,33.2,36.2,49.3,20.5,1003.2,0.0
123,2022-05-04,37.2,24.0,31.2,33.5,54.8,27.7,1005.6,0.973
124,2022-05-05,37.0,23.5,29.9,30.5,53.3,9.8,1006.2,0.0
125,2022-05-06,38.0,25.6,32.3,33.2,44.6,17.9,1005.5,0.0
126,2022-05-07,39.3,27.3,33.4,33.4,36.3,11.2,1005.0,0.0
127,2022-05-08,40.0,27.5,33.6,34.5,39.7,18.4,1003.3,0.0
